نام,کد_ملی,تاریخ_تولد_میلادی,پایه_تحصیلی,رشته_تحصیلی,وزن,قد,معدل,شماره_تلفن,شهریه
سارا کریمی,3178108013,1307923200,10,ریاضی,35 kg,,17.84,09746872343,60000000 تومان
ترانه امینی,5171236851,2006-02-27,هشتم,تجربی,165.3 lb,183,16.39,0951-370-9859,75000000
امیرحسین  کریمی,1888059296,نامعلوم,نهم,تجربی,33 kg,183 cm,نامشخص,9.89947E+11,7500000
نیلوفر  بهرامی,1467866912,1162252800,12ام,نامشخص,94 kg,193 cm,11.82,00989268018242,2000000
پارسا احمدی,6184959310,31/03/2009,دهم,علوم تجربی,76 kg,1.8 m,13.55,0941 928 3276,"75,000,000"
نگار کاظمی,6253244720,02-12-2012,یازدهم,تجربی,176 pound,170,11.37,,2000000
رویا نوری,9264422096,2012-05-13,نهم,,68,179,19.37,,0
یاسمن صادقی,8424981829,09/24/2007,12,,73 pound,141,,0994 396 9078,
امیر,8516560494,,10,ادبیات و علوم انسانی,89 kg,146,11.15,o9493689980,"$75,000,000 "
آرش,4936183242,2007-11-11,یازدهم,تجربی,43 kg,1.59,,o9887719065,15000000
ماهان فروزان,7015430391,14/06/2011,9,ادبیات و علوم انسانی,88,150,42.3,9.89383E+11,12000000
آرمین حسینی,5304637454,2012-06-04,11,نامشخص,163.1 lb,1.43,11.6,,"$8,500,000 "
مهدی طاهری,3796603341,01/09/2012,دوازدهم,علوم انسانی,53 kg,1.56,19.66,,60000000
الناز,6471543799,03/15/2007,یازدهم,ریاضی فیزیک,78 kg,179,44,00989692459375,
آرمین صادقی,0391065180,1160438400,هفتم,کاردانش,80 kg,148 cm,نامشخص,9.89657E+11,5000000
  مریم بهرامی  ,7394731217,29/12/2010,12,نامشخص,158.7 lb,1.75,85.1,09258313237,"20,000,000"
,2681177589,26-08-2011,هفتم,نامشخص,94 kg,,14.79,00989661771159,5000000
نیلوفر کاظمی,7015430391,1191974400, یازدهم,تجربی,87 kg,178,31.9,,5000000
علی رستمی,52204727,2006-11-21,11,فنی حرفه‌ای,47kg,1.86,17.76,9.89341E+11,"30,000,000"
ترانه احمدی,3120387509,1354233600,پایه دهم,ریاضی فیزیک,28kg,166,12.75,0940-862-1182,"12,000,000"
مهدی نجفی,5502296120,13-12-2011,دهم ,ریاضی,86 kg,163,19.41,,"$75,000,000 "
ترانه,7883171210,06/29/2008,10,ریاضی,165.3 lb,181,19.17,09101372151,30000000
محمد,0870593252,2009-08-18,7,ادبیات و علوم انسانی,101.4 lb,1.94,10.73,,75000000
,9176936763,23/01/2006, یازدهم,فنی حرفه‌ای,110 pound,1.84,12.49,o9172788957,"$45,000,000 "
فاطمه کاظمی,3662994680,10-May-08,12,تجربی,84 kg,1.53,24.8,0921-489-5134,12000000
دانیال امینی,5646519398,2012-03-03,12ام,فنی حرفه‌ای,185.2 lb,1.93,23.98,9.89672E+11,
رویا  نجفی,9330833016,19/04/2011,9,ریاضی فیزیک,48 kg,1.7,19.64,09540193802,850000
  زهرا حسینی  ,7541212678,30/07/2010,7,علوم تجربی,73kg,1.78,13.85,09466183982,8500000
فاطمه قاسمی,7379965075,18-May-08,11,علوم انسانی,139 pound,1.84 m,15.17,,0
دانیال قاسمی,7885685574,02/08/2008,10,علوم انسانی,94.8 lb,1.88,17.39,9.89499E+11,8500000
شقایق امینی,4160898992,01/14/2011,نهم,فنی حرفه‌ای,52 kg,167,12.02,ندارد,"$20,000,000 "
سارا موسوی,4348734714,07-Oct-09,8,ادبیات و علوم انسانی,47 kg,184,14.15,09587603669,"$60,000,000 "
رضا احمدی,9632595327,1301270400,یازدهم,تجربی,30 kg,1.65,نامشخص,0939 500 4797,45000000
فاطمه صادقی,0284395995,18/02/2008,پایه دهم,فنی حرفه‌ای,54 kg,1.55,21.91,,2000000
مریم بهرامی,6805891135,2012-11-14,دهم ,علوم انسانی,83 kg,146,15.19,00989993756798,
سجاد کاظمی,7676772190,2008-06-22,هفتم,کاردانش,56kg,150 cm,17.73,ندارد,0 تومان
فاطمه محمدی,4138367024,, یازدهم,علوم انسانی,,1.45,16.37,0961 990 6234,2000000
